FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
12095,1349746,662036,687710,1048026,157152,1301187,48559
12097,351955,173562,178393,265287,45618,338399,13556
12099,1465027,710241,754786,1183252,346044,1431363,33664
12101,524602,255248,269354,417804,118202,510500,14102
12103,964666,463198,501468,806403,234815,934476,30190
12105,686218,336279,349939,533359,138341,669267,16951
12107,73252,36255,36997,57542,16634,71853,1399
12109,244674,119055,125619,191259,48237,238704,5970
12111,312947,152727,160220,250263,74360,305434,7513
12113,174755,89306,85449,136155,27609,167600,7155
12115,419496,200053,219443,359114,151209,411960,7536
12117,461402,223000,238402,363776,70111,447181,14221
12119,125044,62567,62477,115954,70918,123182,1862
12121,44046,22633,21413,34475,9036,42691,1355
12123,21870,12254,9616,17549,4304,21690,180
12125,15303,9979,5324,12381,2290,15037,266
12127,536487,261504,274983,441308,129563,525181,11306
12129,32321,17541,14780,25459,4715,32014,307
12131,68262,34533,33729,54329,13310,65613,2649
12133,24764,13409,11355,19972,4268,24343,421
13001,18440,9318,9122,13863,3107,18265,175
13003,8239,4179,4060,6016,1117,8229,10
13005,11201,5473,5728,8329,1721,10873,328
13007,3132,1530,1602,2476,743,3117,15
13009,45111,22815,22296,36606,6959,44384,727
13011,18708,9400,9308,14361,3079,18510,198
13013,78991,38740,40251,58246,9745,77050,1941
13015,104919,51825,53094,79274,14363,102352,2567
13017,17033,8139,8894,12759,2850,16862,171
13019,19152,9384,9768,14504,3364,18825,327
13021,153200,71915,81285,115586,23236,149894,3306
13023,12807,6054,6753,10081,2261,12703,104
13025,18756,9198,9558,14298,3008,18527,229
13027,15590,7612,7978,12135,2944,15403,187
13029,37063,18476,18587,26191,3892,35487,1576
13031,76120,37316,38804,60904,8479,73454,2666
13033,22520,10715,11805,16642,3384,22252,268
13035,24090,12846,11244,19153,3707,23757,333
13037,6365,3891,2474,5242,958,6264,101
13039,53231,27495,25736,40414,6762,51380,1851
13043,10812,5339,5473,8103,1890,10562,250
13045,117183,57024,60159,89171,15650,115242,1941
13047,66700,32000,34700,51322,11485,65177,1523
13049,13040,7455,5585,10504,1940,12677,363
13051,288496,138879,149617,226410,43050,280068,8428
13053,10560,6875,3685,8315,338,10179,381
13055,24812,12858,11954,19227,4295,24471,341
13057,247515,121808,125707,185948,33259,241523,5992
13059,126176,60045,66131,104277,13351,122829,3347
13061,2951,1427,1524,2387,762,2944,7
13063,283538,132756,150782,204016,25570,274935,8603
13065,6686,3380,3306,4962,1039,6536,150
13067,751218,363539,387679,571389,89040,728230,22988
13069,43021,22155,20866,32462,5873,42405,616
13071,45486,22504,22982,33575,6937,44759,727
13073,150705,73770,76935,112288,19884,144384,6321
13075,17177,8224,8953,12781,2729,16842,335
13077,143260,69744,73516,107720,19347,140159,3101
13079,12325,6484,5841,9699,2219,12176,149
13081,22713,10958,11755,17197,4137,22456,257
13083,16197,7913,8284,13107,3068,15816,381
13085,24536,12224,12312,19554,4913,24150,386
13087,26682,12823,13859,20158,4267,26578,104
13089,749323,354278,395045,574477,89507,728107,21216
13091,20829,10958,9871,16723,3642,20369,460
13093,13736,7433,6303,11303,2642,13492,244
13095,89703,41433,48270,68061,13718,88360,1343
13097,143316,68291,75025,105906,16318,139761,3555
13099,10312,4793,5519,7715,1957,10170,142
13101,3981,1888,2093,3100,641,3803,178
13103,60477,29954,30523,44361,6903,58804,1673
13105,19166,9205,9961,14977,3884,19002,164
13107,22533,11047,11486,16905,3545,22079,454
13109,10687,5290,5397,7863,1756,10539,148
13111,25395,12319,13076,21153,7228,24933,462
13113,112303,54446,57857,86090,19884,108606,3697
13115,97369,47109,50260,74689,16060,94552,2817
13117,228383,113527,114856,164774,26669,223122,5261
13119,22766,11116,11650,17786,4388,22352,414
13121,1036200,501571,534629,806180,118227,1011991,24209
13123,30414,15178,15236,24472,7335,29843,571
13125,2996,1461,1535,2313,494,2971,25
13127,84470,39757,44713,65760,16612,82403,2067
13129,57202,28313,28889,43108,8247,56114,1088
13131,24828,12073,12755,18686,4406,23992,836
13133,17349,8535,8814,14053,4935,17210,139
13135,915046,446993,468053,666336,88110,887221,27825
13137,44626,21134,23492,34608,8245,43546,1080
13139,198667,98831,99836,147741,28912,194498,4169
13141,8515,4816,3699,7331,1904,8472,43
13143,29227,14126,15101,22165,4608,28708,519
13145,34105,17143,16962,26641,6163,33106,999
13147,25773,12664,13109,20444,5628,25359,414
13149,11736,5796,5940,9070,1953,11347,389
13151,225356,107505,117851,166706,25576,217560,7796
13153,153507,74436,79071,114120,19060,147974,5533
13155,9320,4904,4416,7268,1741,9276,44
13157,67885,33636,34249,50626,9779,66180,1705
13159,13916,6730,7186,10675,2441,13760,156
13161,15036,7347,7689,11026,2274,14547,489
13163,15618,7522,8096,11927,2806,15437,181
13165,8793,4094,4699,6825,1567,8715,78
13167,9691,5505,4186,7824,1756,9479,212
13169,28579,13728,14851,21886,4967,28151,428
13171,18672,9111,9561,14771,3127,18106,566
13173,10380,5028,5352,7763,1434,10308,72
13175,47405,22431,24974,35686,8175,46999,406
13177,29502,14736,14766,21686,3691,28735,767
13179,61349,31138,30211,44067,5382,57307,4042
13181,7856,3675,4181,6349,1826,7781,75
13183,18692,9457,9235,13419,1692,17698,994
13185,115364,56144,59220,87682,13703,112640,2724
13187,32402,15737,16665,26471,5459,31989,413
13189,21455,9827,11628,16034,3710,21037,418
13191,14174,7128,7046,11795,3639,14083,91
13193,13305,7262,6043,10751,2201,13182,123
